cat,subfield,year,n,rate
astro-ph.GA,Galaxies,2018,3870,1.0594315245478036
astro-ph.GA,Galaxies,2019,3711,1.0778765831312316
astro-ph.GA,Galaxies,2020,3824,1.5690376569037656
astro-ph.GA,Galaxies,2021,3685,2.0081411126187247
astro-ph.GA,Galaxies,2022,3837,2.1631482929371906
astro-ph.GA,Galaxies,2023,3956,3.4378159757330637
astro-ph.GA,Galaxies,2024,4264,6.636960600375234
astro-ph.GA,Galaxies,2025,4821,6.741339970960381
astro-ph.GA,Galaxies,2026,2699,5.224157095220452
astro-ph.CO,Cosmology,2018,1675,1.0149253731343284
astro-ph.CO,Cosmology,2019,1834,1.5267175572519085
astro-ph.CO,Cosmology,2020,1990,1.9095477386934674
astro-ph.CO,Cosmology,2021,2031,1.674052191038897
astro-ph.CO,Cosmology,2022,2035,1.769041769041769
astro-ph.CO,Cosmology,2023,2165,3.879907621247113
astro-ph.CO,Cosmology,2024,2471,5.74666127074059
astro-ph.CO,Cosmology,2025,2812,6.0455192034139404
astro-ph.CO,Cosmology,2026,1572,3.880407124681934
astro-ph.SR,Solar/Stellar,2018,2914,1.2354152367879203
astro-ph.SR,Solar/Stellar,2019,2669,1.423754215061821
astro-ph.SR,Solar/Stellar,2020,2818,1.27750177430802
astro-ph.SR,Solar/Stellar,2021,2472,2.0226537216828477
astro-ph.SR,Solar/Stellar,2022,2552,1.9592476489028212
astro-ph.SR,Solar/Stellar,2023,2482,2.0145044319097503
astro-ph.SR,Solar/Stellar,2024,2669,4.645934807043837
astro-ph.SR,Solar/Stellar,2025,2988,5.254350736278447
astro-ph.SR,Solar/Stellar,2026,1600,4.1875
astro-ph.HE,High-Energy,2018,2522,1.1102299762093577
astro-ph.HE,High-Energy,2019,2952,1.2533875338753389
astro-ph.HE,High-Energy,2020,2979,1.0070493454179255
astro-ph.HE,High-Energy,2021,2966,1.1800404585300068
astro-ph.HE,High-Energy,2022,2840,1.619718309859155
astro-ph.HE,High-Energy,2023,3355,2.6527570789865873
astro-ph.HE,High-Energy,2024,3339,4.282719377058999
astro-ph.HE,High-Energy,2025,3949,4.684730311471259
astro-ph.HE,High-Energy,2026,2175,3.3563218390804597
astro-ph.EP,Earth/Planetary,2018,1659,1.3863773357444245
astro-ph.EP,Earth/Planetary,2019,1851,1.4586709886547813
astro-ph.EP,Earth/Planetary,2020,1841,1.7925040738728952
astro-ph.EP,Earth/Planetary,2021,1938,2.1671826625387
astro-ph.EP,Earth/Planetary,2022,1826,2.190580503833516
astro-ph.EP,Earth/Planetary,2023,1935,2.945736434108527
astro-ph.EP,Earth/Planetary,2024,2078,5.871029836381136
astro-ph.EP,Earth/Planetary,2025,2319,5.648986632169039
astro-ph.EP,Earth/Planetary,2026,1272,5.581761006289308
astro-ph.IM,Instrum./Methods,2018,1423,1.4757554462403373
astro-ph.IM,Instrum./Methods,2019,1403,1.8531717747683536
astro-ph.IM,Instrum./Methods,2020,1385,1.7328519855595668
astro-ph.IM,Instrum./Methods,2021,1371,2.3340627279358133
astro-ph.IM,Instrum./Methods,2022,1417,2.2582921665490474
astro-ph.IM,Instrum./Methods,2023,1390,5.179856115107913
astro-ph.IM,Instrum./Methods,2024,1511,7.809397749834547
astro-ph.IM,Instrum./Methods,2025,1752,7.819634703196347
astro-ph.IM,Instrum./Methods,2026,1097,5.013673655423883
