year,n,hype_docpct,hedge_docpct,hype_per1k,hedge_per1k
2015,14938,7.865845494711474,48.246083813094124,0.4490303357760724,4.534367082299497
2016,15179,7.477435931220765,49.04802687924106,0.420246592152887,4.680712648676224
2017,15137,7.74261742749554,49.72583735218339,0.43608438402910676,4.67242987443355
2018,15947,8.18962814322443,48.705085596036874,0.4718352039914812,4.565794136305016
2019,16602,8.776051078183352,48.07252138296591,0.4945441164531,4.503994169195211
2020,17289,7.889409451096073,49.04852796575857,0.4343709684131674,4.4601777481839076
2021,17118,8.219418156326673,48.446080149550184,0.4535373145060038,4.4212610607940865
2022,17142,9.04795239761988,48.63493174658733,0.4920936378951884,4.390213246342017
2023,18003,9.742820641004277,49.119591179247905,0.5385730593481642,4.489393110447932
2024,19226,9.918859877249558,50.1092270883179,0.5413203193231821,4.594881098509898
2025,21869,10.288536284237962,49.85596049202067,0.5666032226454812,4.555463014347075
2026,12097,9.423824088617012,47.697776308175584,0.5104868002126828,4.241244450708195
