phrase,year,n,freq
delve into,2015,0,0.0
delve into,2016,1,0.006588049278608604
delve into,2017,1,0.0066063288630508026
delve into,2018,0,0.0
delve into,2019,1,0.006023370678231539
delve into,2020,0,0.0
delve into,2021,3,0.01752541184717841
delve into,2022,5,0.029168125072920312
delve into,2023,14,0.07776481697494862
delve into,2024,25,0.13003224799750338
delve into,2025,11,0.05029951072294115
sheds light,2015,6,0.04016601954746284
sheds light,2016,4,0.026352197114434418
sheds light,2017,7,0.04624430204135562
sheds light,2018,4,0.025083087728099328
sheds light,2019,4,0.024093482712926155
sheds light,2020,4,0.02313609809705593
sheds light,2021,5,0.029209019745297347
sheds light,2022,7,0.040835375102088435
sheds light,2023,14,0.07776481697494862
sheds light,2024,22,0.11442837823780297
sheds light,2025,12,0.0548721935159358
shed light,2015,56,0.37488284910965325
shed light,2016,51,0.3359905132090388
shed light,2017,75,0.4954746647288102
shed light,2018,61,0.3825170878535148
shed light,2019,83,0.4999397662932177
shed light,2020,84,0.48585806003817456
shed light,2021,81,0.47318611987381703
shed light,2022,91,0.5308598763271497
shed light,2023,114,0.6332277953674388
shed light,2024,124,0.6449599500676167
shed light,2025,106,0.4847043760574329
pivotal role,2015,4,0.02677734636497523
pivotal role,2016,3,0.01976414783582581
pivotal role,2017,8,0.05285063090440642
pivotal role,2018,4,0.025083087728099328
pivotal role,2019,5,0.030116853391157692
pivotal role,2020,4,0.02313609809705593
pivotal role,2021,11,0.06425984343965417
pivotal role,2022,17,0.09917162524792907
pivotal role,2023,25,0.13886574459812254
pivotal role,2024,39,0.20285030687610528
pivotal role,2025,53,0.24235218802871644
rich tapestry,2015,0,0.0
rich tapestry,2016,0,0.0
rich tapestry,2017,0,0.0
rich tapestry,2018,0,0.0
rich tapestry,2019,0,0.0
rich tapestry,2020,1,0.0057840245242639825
rich tapestry,2021,0,0.0
rich tapestry,2022,0,0.0
rich tapestry,2023,0,0.0
rich tapestry,2024,1,0.005201289919900136
rich tapestry,2025,3,0.01371804837898395
wide range,2015,289,1.9346632748694605
wide range,2016,340,2.2399367547269255
wide range,2017,335,2.213120169122019
wide range,2018,363,2.2762902113250143
wide range,2019,388,2.337067823153837
wide range,2020,410,2.371450054948233
wide range,2021,421,2.4593994625540367
wide range,2022,402,2.3451172558627933
wide range,2023,396,2.1996333944342608
wide range,2024,458,2.382190783314262
wide range,2025,541,2.4738213910101057
growing body,2015,6,0.04016601954746284
growing body,2016,8,0.052704394228868835
growing body,2017,3,0.019818986589152408
growing body,2018,2,0.012541543864049664
growing body,2019,7,0.04216359474762077
growing body,2020,3,0.01735207357279195
growing body,2021,5,0.029209019745297347
growing body,2022,2,0.011667250029168125
growing body,2023,3,0.016663889351774704
growing body,2024,6,0.031207739519400812
growing body,2025,5,0.02286341396497325
the intricate,2015,4,0.02677734636497523
the intricate,2016,2,0.013176098557217209
the intricate,2017,2,0.013212657726101605
the intricate,2018,3,0.018812315796074498
the intricate,2019,2,0.012046741356463078
the intricate,2020,3,0.01735207357279195
the intricate,2021,5,0.029209019745297347
the intricate,2022,6,0.03500175008750438
the intricate,2023,14,0.07776481697494862
the intricate,2024,58,0.30167481535420787
the intricate,2025,25,0.11431706982486625
a myriad,2015,0,0.0
a myriad,2016,1,0.006588049278608604
a myriad,2017,0,0.0
a myriad,2018,1,0.006270771932024832
a myriad,2019,2,0.012046741356463078
a myriad,2020,1,0.0057840245242639825
a myriad,2021,5,0.029209019745297347
a myriad,2022,3,0.01750087504375219
a myriad,2023,5,0.027773148919624506
a myriad,2024,4,0.020805159679600543
a myriad,2025,2,0.0091453655859893
in the realm,2015,0,0.0
in the realm,2016,0,0.0
in the realm,2017,0,0.0
in the realm,2018,0,0.0
in the realm,2019,0,0.0
in the realm,2020,0,0.0
in the realm,2021,0,0.0
in the realm,2022,0,0.0
in the realm,2023,0,0.0
in the realm,2024,0,0.0
in the realm,2025,0,0.0
plays a,2015,74,0.4953809077520418
plays a,2016,100,0.6588049278608604
plays a,2017,93,0.6143885842637247
plays a,2018,105,0.6584310528626074
plays a,2019,110,0.6625707746054692
plays a,2020,129,0.7461391636300538
plays a,2021,102,0.5958640028040659
plays a,2022,116,0.6767005016917512
plays a,2023,196,1.0887074376492807
plays a,2024,181,0.9414334755019245
plays a,2025,257,1.175179477799625
leveraging the,2015,1,0.006694336591243808
leveraging the,2016,6,0.03952829567165162
leveraging the,2017,4,0.02642531545220321
leveraging the,2018,3,0.018812315796074498
leveraging the,2019,8,0.04818696542585231
leveraging the,2020,9,0.052056220718375845
leveraging the,2021,15,0.08762705923589205
leveraging the,2022,11,0.06416987516042469
leveraging the,2023,33,0.18330278286952176
leveraging the,2024,89,0.46291480287111203
leveraging the,2025,102,0.4664136448854543
underscores the,2015,8,0.05355469272995046
underscores the,2016,4,0.026352197114434418
underscores the,2017,1,0.0066063288630508026
underscores the,2018,3,0.018812315796074498
underscores the,2019,7,0.04216359474762077
underscores the,2020,3,0.01735207357279195
underscores the,2021,6,0.03505082369435682
underscores the,2022,9,0.052502625131256565
underscores the,2023,22,0.12220185524634783
underscores the,2024,75,0.39009674399251015
underscores the,2025,109,0.4984224244364168
highlighting the,2015,25,0.1673584147810952
highlighting the,2016,21,0.13834903485078068
highlighting the,2017,25,0.16515822157627005
highlighting the,2018,19,0.11914466670847182
highlighting the,2019,37,0.22286471509456693
highlighting the,2020,32,0.18508878477644744
highlighting the,2021,43,0.2511975698095572
highlighting the,2022,53,0.30918212577295534
highlighting the,2023,74,0.4110426040104427
highlighting the,2024,142,0.7385831686258192
highlighting the,2025,254,1.1614614294206411
